Key,English,Arabic,Chinese,Czech,Danish,Dutch,Finnish,French,German,Greek,Hebrew,Hungarian,Indonesian,Italian,Hindi,Japanese,Korean,Norwegian,Polish,Portuguese,Russian,Swedish,Spanish,Thai,Turkish,Ukrainian,Vietnamese
CC.mask_access,Mask Accessories,اكسسوارات القناع,面罩配件,Příslušenství masky,Maske tilbehør,Maskeraccessoires,Maskin tarvikkeet,Accessoires pour masques,Maskenzubehör,Αξεσουάρ μάσκας,אביזרי מסכה,Maszk tartozékok,Aksesoris Masker,Accessori per maschere,मुखौटा सहायक उपकरण,マスクアクセサリー,마스크 액세서리,Masketilbehør,Akcesoria do masek,Acessórios para máscaras,Аксессуары для масок,Masktillbehör,Accesorios para mascarillas,อุปกรณ์เสริมหน้ากาก,Maske Aksesuarları,Аксесуари для масок,Phụ kiện mặt nạ
CC.glasses,Glasses,نظارات,眼镜,Brýle,Briller,Bril,Lasit,Lunettes,Gläser,Γυαλιά,משקפיים,Szemüveg,Kacamata,Occhiali,चश्मा,眼鏡,안경,Briller,Okulary,Copos,Очки,Glasögon,Anteojos,แว่นตา,Gözlük,Окуляри,Kính
CC.necklace,Necklace,قلادة,项链,Náhrdelník,Halskæde,Halsketting,Kaulakoru,Collier,Halskette,Κολιέ,שַׁרשֶׁרֶת,Nyaklánc,Kalung,Collana,गले का हार,ネックレス,목걸이,Halskjede,Naszyjnik,Colar,Ожерелье,Halsband,Collar,สร้อยคอ,Kolye,Кольє,Vòng cổ
CC.earrings,Earrings,الأقراط,耳环,Náušnice,Øreringe,Oorbellen,Korvakorut,Des boucles d'oreilles,Ohrringe,Σκουλαρίκια,עגילים,Fülbevaló,Anting,Orecchini,कान की बाली,イヤリング,귀걸이,Øredobber,Kolczyki,Brincos,Серьги,Örhängen,Pendientes,ต่างหู,Küpeler,Сережки,Hoa tai
CC.rings,Hand Rings,خواتم اليد,手环,Kroužky na ruce,Hånd ringe,Handringen,Käsi sormukset,Bagues à main,Handringe,Δαχτυλίδια χεριών,טבעות יד,Kézi gyűrűk,Cincin Tangan,Anelli a mano,हाथ की अंगूठियाँ,ハンドリング,핸드 링,Håndringer,Pierścionki na rękę,Anéis de mão,Кольца для рук,Handringar,Anillos de mano,แหวนมือ,El Yüzükleri,Кільця для рук,Nhẫn Tay
CC.hair,Hair,شعر,头发,Vlasy,Hår,Haar,Hiukset,Cheveux,Haar,Μαλλιά,שיער,Haj,Rambut,Capelli,बाल,髪,머리카락,Hår,Włosy,Cabelo,Волосы,Hår,Cabello,ผม,Saç,Волосся,Tóc
CC.hair_base,Hair Piece 1,قطعة شعر 1,发片1,Kousek vlasů 1,Hårstykke 1,Haarstuk 1,Hiuspala 1,Morceau de cheveux 1,Haarteil 1,Κομμάτι μαλλιών 1,חתיכת שיער 1,Hajdarab 1,Potongan Rambut 1,Pezzo di capelli 1,बाल टुकड़ा 1,ヘアピース 1,헤어피스 1,Hårstykke 1,Kawałek włosów 1,Pedaço de cabelo 1,Часть волос 1,Hårstycke 1,Pieza de cabello 1,ชิ้นผม 1,Saç Parçası 1,Зачіска 1,Phần tóc 1
CC.hair_2,Hair Piece 2,قطعة شعر 2,发片2,Kousek vlasů 2,Hårstykke 2,Haarstuk 2,Hiuspala 2,Morceau de cheveux 2,Haarteil 2,Κομμάτι μαλλιών 2,חתיכת שיער 2,Hajdarab 2,Potongan Rambut 2,Pezzo di capelli 2,बाल का टुकड़ा 2,ヘアピース 2,헤어피스 2,Hårstykke 2,Kawałek włosów 2,Pedaço de cabelo 2,Прическа 2,Hårstycke 2,pieza de cabello 2,ชิ้นผม 2,Saç Parçası 2,Зачіска 2,Phần tóc 2
CC.hair_3,Hair Piece 3,قطعة شعر 3,发片3,Kousek vlasů 3,Hårstykke 3,Haarstuk 3,Hiuspala 3,Morceau de cheveux 3,Haarteil 3,Κομμάτι μαλλιών 3,חתיכת שיער 3,Hajdarab 3,Potongan Rambut 3,Pezzo di capelli 3,बाल का टुकड़ा 3,ヘアピース 3,헤어피스 3,Hårstykke 3,Kawałek włosów 3,Pedaço de cabelo 3,Прическа 3,Hårstycke 3,Pieza de pelo 3,ชิ้นผม 3,Saç Parçası 3,Зачіска 3,Phần Tóc 3
CC.facial_hair,Facial Hair,شعر الرجه,胡子,Vousy,Ansigtshår,Gezichtshaar,Parta,Poils,Gesichtsbehaarung,Τρίχες προσώπου,שיער פנים,Arcszőrzet,Rambut Wajah,Peli del viso,चेहरे के बाल,顔の毛,얼굴 털,Ansiktshår,Zarost,Pêlos faciais,Волосы на лице,Ansiktshår,Vello facial,ขนบนใบหน้า,Sakal,Волосся на обличчі,Tóc trên khuôn mặt
CC.cape,Cape/Neck Garment,ملابس الرأس/الرقبة,斗篷/领口服装,Oděv na mys/krk,Kappe/nakkebeklædning,Kaap/hals kledingstuk,Viitta/kaula-asu,Vêtement Cape/Cou,Cape/Kragen-Kleidungsstück,Ένδυμα με κάπα/λαιμό,בגד שכמייה/צוואר,Köpeny/nyakú ruha,Pakaian Jubah/Leher,Indumento mantello/collo,केप/गर्दन परिधान,ケープ/ネックウェア,케이프/넥 의류,Kapp/hals plagg,Peleryna/szyja,Vestuário de capa/pescoço,Накидка/Шейа Одежда,Kap/halsplagg,Prenda de capa/cuello,เสื้อผ้าเคป/คอ,Pelerin/Boyun Giysisi,Накидка/шия,May áo choàng/cổ
CC.chest,Chest,صدر,胸部,Hruď,Bryst,Borst,Rintakehä,Poitrine,Brust,Στήθος,חזה,Mellkas,Dada,Petto,छाती,胸,가슴,Bryst,Klatka piersiowa,Peito,Грудь,Bröst,Pecho,หน้าอก,Göğüs,груди,Ngực
CC.torso,Torso Wear,ارتداء الجذع,躯干磨损,Oblečení trupu,Torso Wear,Torso-slijtage,Vartalon kuluminen,Usure du torse,Oberkörperbekleidung,Φορέα κορμού,טורסו Wear,Torso Wear,Keausan Tubuh,Usura del torso,धड़ पहनना,トルソーウェア,몸통 착용,Torso Wear,Zużycie tułowia,Desgaste do tronco,Одежда для торса,Torso Wear,Desgaste del torso,สวมเนื้อตัว,Gövde Aşınması,Одяг для торсу,Thân mặc
CC.torso_2,Torso Wear Additional,ملابس إضافية للجذع,躯干额外磨损,Dodatečné opotřebení trupu,Torso Wear Ekstra,Torso-slijtage extra,Vartalon kulumisen lisä,Usure du torse supplémentaire,Zusätzliche Rumpfabnutzung,Πρόσθετο ένδυμα κορμού,לבישה נוספת לטורסו,Torso Wear kiegészítő,Tubuh Memakai Tambahan,Usura del torso aggiuntiva,धड़ अतिरिक्त पहनें,トルソーウェア追加,몸통 착용 추가,Torso Wear Ekstra,Dodatkowe zużycie tułowia,Desgaste adicional do tronco,Дополнительная одежда на торс,Torso Wear Extra,Desgaste del torso adicional,เนื้อตัวสวมเพิ่มเติม,Gövde Aşınması Ek,Додатковий одяг на торс,Thân mặc bổ sung
CC.torso_extra,Torso Wear Extra,ارتداء الجذع اضافية,躯干磨损额外,Torso Wear Extra,Torso Wear Extra,Torso Wear Extra,Torso Wear Extra,Port du torse supplémentaire,Oberkörperbekleidung Extra,Έξτρα φθορά κορμού,Torso Wear Extra,Torso Wear Extra,Tubuh Memakai Ekstra,Usura del busto extra,धड़ अतिरिक्त पहनें,トルソーウェアエクストラ,토르소 웨어 엑스트라,Torso Wear Extra,Dodatkowe zużycie tułowia,Desgaste Extra do Torso,Дополнительная одежда для торса,Torso Wear Extra,Desgaste adicional del torso,เนื้อตัวสวมเสริม,Gövde Aşınması Ekstra,Додатковий одяг для торсу,Thân mặc thêm
CC.torso_access,Torso Wear Accessories,إكسسوارات ملابس الجذع,躯干穿戴配件,Příslušenství k nošení trupu,Torso Wear Tilbehør,Accessoires voor torsokleding,Vartalon asusteet,Accessoires pour le torse,Accessoires für den Oberkörper,Αξεσουάρ φορέματος κορμού,אביזרים ללבוש טורסו,Torso viselési kiegészítők,Aksesori Pakaian Tubuh,Accessori per l'usura del busto,धड़ पहनने का सामान,トルソーウェアアクセサリー,몸통 착용 액세서리,Torso Wear Tilbehør,Akcesoria do noszenia tułowia,Acessórios para desgaste do torso,Аксессуары для одежды на торсе,Torso Wear Accessoarer,Accesorios para el torso,อุปกรณ์สวมใส่ลำตัว,Gövde Giyim Aksesuarları,Аксесуари для торсу,Phụ kiện đeo thân
CC.shirt,Shirt,قميص,衬衫,Košile,Skjorte,Shirt,Paita,Chemise,Hemd,Πουκάμισο,חוּלצָה,Ing,Kemeja,Camicia,कमीज,シャツ,셔츠,Skjorte,Koszula,Camisa,Рубашка,Skjorta,Camisa,เสื้อ,Gömlek,Сорочка,Áo sơ mi
CC.jacket,Jacket,السترة,夹克,Bunda,Jakke,Jasje,Takki,Veste,Jacke,Σακάκι,ז'ָקֵט,dzseki,Jaket,Giacca,जैकेट,ジャケット,재킷,Jakke,Kurtka,Jaqueta,Куртка,Jacka,Chaqueta,เสื้อแจ็กเกต,Ceket,Піджак,Áo khoác
CC.flashlight,Flashlight,مصباح يدوي,手电筒,Svítilna,Lommelygte,Zaklamp,Taskulamppu,Lampe de poche,Taschenlampe,Φακός,פנס,Zseblámpa,Senter,Torcia elettrica,टॉर्च,懐中電灯,플래시,Lommelykt,Latarka,Lanterna,Фонарик,Ficklampa,Linterna,ไฟฉาย,El feneri,Ліхтарик,Đèn pin
CC.waist,Waist Item,عنصر الخصر,腰部单品,Položka do pasu,Talje vare,Taille-item,Vyötärö tuote,Article de taille,Taillenartikel,Στοιχείο μέσης,פריט מותניים,Derék cikk,Barang Pinggang,Articolo in vita,कमर की वस्तु,ウエストアイテム,허리 아이템,Midjeelement,Przedmiot w talii,Item de cintura,Талия,Midja objekt,Artículo de cintura,รายการเอว,Bel Öğesi,Пункт талії,Sản phẩm thắt lưng
CC.weapons,Weapon,سلاح,武器,Zbraň,Våben,Wapen,Ase,Arme,Waffe,Οπλο,נֶשֶׁק,Fegyver,Senjata,Arma,हथियार,武器,무기,Våpen,Broń,Arma,Оружие,Vapen,Arma,อาวุธ,Silah,Зброя,vũ khí
CC.belts,Belt/Harness,الحزام/الحزام,腰带/背带,Pás/Postroj,Bælte/sele,Riem/harnas,Vyö/valjaat,Ceinture/Harnais,Gürtel/Geschirr,Ζώνη/Ζώνη,חגורה/רתמה,Öv/hám,Sabuk/Kekang,Cintura/imbracatura,बेल्ट/हार्नेस,ベルト/ハーネス,벨트/하네스,Belte/sele,Pas/szelki,Cinto/arnês,Ремень/ремни безопасности,Bälte/sele,Cinturón/Arnés,เข็มขัด/สายรัด,Kemer / Koşum Takımı,Ремінь/ремінь,Thắt lưng/Dây nịt
CC.hands,Hands,الأيدي,手,Ruce,Hænder,Handen,Kädet,Mains,Hände,Χέρια,ידיים,Kezek,Tangan,Mani,हाथ,手,소유,Hender,Ręce,Mãos,Руки,Händer,Manos,มือ,Eller,руки,bàn tay
CC.lhand,Left hand,اليد اليسرى,左手,Levá ruka,Venstre hånd,Linkerhand,Vasen käsi,Main gauche,Linke Hand,Αριστερόχειρας,יד שמאל,Bal kéz,Tangan kiri,Mano sinistra,बायां हाथ,左手,왼손,Venstre hand,Lewa ręka,Mão esquerda,Левая рука,Vänster hand,Mano izquierda,มือซ้าย,Sol el,Ліва рука,Tay trái
CC.rhand,Right hand,اليد اليمنى,右手,Pravá ruka,Højre hånd,Rechter hand,Oikea käsi,Main droite,Rechte Hand,Δεξί χέρι,יד ימין,Jobb kéz,Tangan kanan,Mano destra,दांया हाथ,右手,오른손,Høyre hånd,Prawa ręka,Mão direita,Правая рука,Höger hand,Mano derecha,มือขวา,Sağ el,Права рука,Tay phải
CC.gloves,Gloves,قفازات,手套,Rukavice,Handsker,Handschoenen,Käsineet,Gants,Handschuhe,Γάντια,כפפות,Kesztyű,Sarung tangan,Guanti,दस्ताने,手袋,장갑,Hansker,Rękawice,Luvas,Перчатки,Handskar,Guantes,ถุงมือ,Eldivenler,Рукавички,Găng tay
CC.gloves_2,Gloves Additional,قفازات إضافية,手套附加,Rukavice doplňkové,Handsker ekstra,Handschoenen Extra,Käsineet Lisävaruste,Gants supplémentaires,Zusätzliche Handschuhe,Γάντια πρόσθετα,כפפות נוספות,Kesztyű Kiegészítő,Sarung Tangan Tambahan,Guanti aggiuntivi,दस्ताने अतिरिक्त,手袋追加,장갑 추가,Ekstra hansker,Rękawiczki dodatkowe,Luvas Adicionais,Перчатки Дополнительные,Handskar extra,Guantes Adicionales,ถุงมือเพิ่มเติม,Eldivenler Ek,Рукавички Доп,Găng tay bổ sung
CC.arm_access,Arm Accessories,ملحقات الذراع,手臂配件,Příslušenství pro paže,Armtilbehør,Armaccessoires,Käsivarsien tarvikkeet,Accessoires de bras,Armzubehör,Αξεσουάρ βραχίονα,אביזרי זרוע,Kar tartozékok,Aksesoris Lengan,Accessori per braccioli,बांह के सहायक उपकरण,アームアクセサリー,팔 액세서리,Armtilbehør,Akcesoria do ramion,Acessórios de braço,Аксессуары для рук,Armtillbehör,Accesorios para brazos,อุปกรณ์เสริมแขน,Kol Aksesuarları,Аксесуари для рук,Phụ kiện cánh tay
CC.arm_access_2,Arm Extras,إضافات الذراع,手臂配件,Arm Extras,Arm Ekstra,Arm-extra's,Käsivarsien lisävarusteet,Extras de bras,Arm-Extras,Έξτρα βραχίονα,תוספות זרוע,Kar extrák,Ekstra Lengan,Extra del braccio,बांह अतिरिक्त,アームエクストラ,팔 엑스트라,Arm Ekstrautstyr,Dodatki do ramion,Extras de braço,Дополнительные аксессуары для рук,Arm Extras,Extras de brazo,อุปกรณ์เสริมแขน,Kol Ekstraları,Arm Extras,Phụ kiện cánh tay
CC.sleeve,Sleeves,الأكمام,袖子,Rukávy,Ærmer,Mouwen,Hihat,Manches,Ärmel,Μανίκια,שרוולים,Ujjak,lengan,Maniche,आस्तीन,袖,소매,Ermer,Rękawy,Mangas,Рукава,Ärmar,Mangas,แขนเสื้อ,kollu,Рукава,Tay áo
CC.backpack,Backpack,حقيبة الظهر,背包,Batoh,Rygsæk,Rugzak,Reppu,Sac à dos,Rucksack,ΣΑΚΙΔΙΟ ΠΛΑΤΗΣ,תיק גב,Hátizsák,Ransel,Zaino,बैग,バックパック,배낭,Ryggsekk,Plecak,Mochila,Рюкзак,Ryggsäck,Mochila,กระเป๋าเป้สะพายหลัง,Sırt çantası,Рюкзак,Balo
CC.bumbag,Bumbag/Satchel,بومباغ / حقيبة,腰包/挎包,Vak / brašna,Bumbag/taske,Heuptasje/tas,Reppu/laukku,Sac banane/cartable,Bauchtasche/Umhängetasche,Bumbag/Satchel,בומבאג/ילקוט,Bumbag/táska,Tas Pinggang/Tas,Marsupio/cartella,बंबैग/सैचेल,ウエストバッグ/かばん,범백/가방,Bumbag/Satchel,Torba/torba na biodra,Bolsa/mochila,Поясная сумка/ранец,Bumbag/väska,Riñonera/cartera,กระเป๋าคาดเอว/กระเป๋าถือ,Sırt Çantası/Sırt Çantası,Сумка/ранець,Bumbag/Túi
CC.gastank,Gastank,خزان الغاز,储气罐,Palivová nádrž,Benzintank,Benzinetank,Bensatankki,Gastank,Gasbehälter,Ντεπόζιτο,מיכל דלק,Gáztartály,Tangki bensin,Serbatoio di gas,गैस की टंकी,ガソリンタンク,가스 탱크,Bensintank,Zbiornik paliwa,Tanque de gás,Нефтяной резервуар,Bensintank,Tanque de gas,ถังแก๊ส,Gaz tankı,Паливний бак,Gastank
CC.blisters_1,Blisters_1,بثور_1,水泡_1,Puchýře_1,Blærer_1,Blaren_1,Rakkulat_1,Ampoules_1,Blasen_1,Φουσκάλες_1,שלפוחיות_1,Buborékok_1,Lepuh_1,Blister_1,छाले_1,水疱_1,물집_1,Blærer_1,Pęcherze_1,Bolhas_1,Волдыри_1,Blåsor_1,Ampollas_1,แผลพุพอง_1,Kabarcıklar_1,Блістери_1,mụn nước_1
CC.blisters_2,Blisters_2,بثور_2,水泡_2,Puchýře_2,Blærer_2,Blaren_2,Rakkulat_2,Ampoules_2,Blasen_2,Φουσκάλες_2,שלפוחיות_2,Buborékok_2,Lepuh_2,Blister_2,छाले_2,水疱_2,물집_2,Blærer_2,Pęcherze_2,Bolhas_2,Волдыри_2,Blåsor_2,Ampollas_2,แผลพุพอง_2,Blisters_2,Блістери_2,mụn nước_2
CC.blisters_3,Blisters_3,بثور_3,水泡_3,Puchýře_3,Blærer_3,Blaren_3,Rakkulat_3,Ampoules_3,Blasen_3,Φουσκάλες_3,שלפוחיות_3,Buborékok_3,Lepuh_3,Blister_3,छाले_3,水疱_3,물집_3,Blærer_3,Pęcherze_3,Bolhas_3,Волдыри_3,Blåsor_3,Ampollas_3,แผลพุพอง_3,Kabarcıklar_3,Блістери_3,mụn nước_3
CC.blisters_4,Blisters_4,بثور_4,水泡_4,Puchýře_4,Blærer_4,Blaren_4,Rakkulat_4,Ampoules_4,Blasen_4,Φουσκάλες_4,שלפוחיות_4,Buborékok_4,Lepuh_4,Blister_4,छाले_4,水疱_4,물집_4,Blærer_4,Pęcherze_4,Bolhas_4,Волдыри_4,Blåsor_4,Ampollas_4,แผลพุพอง_4,Blisters_4,Блістери_4,mụn nước_4
CC.pockets,Pockets,جيوب,口袋,Kapsy,Lommer,Zakken,Taskut,Les poches,Taschen,Τσέπες,כיסים,Zsebek,kantong,Tasche,जेब,ポケット,주머니,Lommer,Kieszenie,Bolsos,Карманы,Fickor,Bolsillos,กระเป๋า,Cepler,Кишені,Túi
CC.decals,Clothing Decals,شارات الملابس,服装贴花,Obtisky na oblečení,Tøjdekaler,Kledingstickers,Vaatetarrat,Vêtements Décalcomanies,Kleidungsaufkleber,Χαλκομανίες ρούχων,מדבקות בגדים,Ruházati matricák,Stiker Pakaian,Decalcomanie per abbigliamento,कपड़ों के डिकल्स,衣類用デカール,의류 데칼,Klesdekaler,Naklejki na ubrania,Decalques para roupas,Наклейки на одежду,Kläddekaler,Calcomanías de ropa,สติ๊กเกอร์ติดเสื้อผ้า,Giyim Çıkartmaları,Наклейки на одяг,Đề can quần áo
CC.decals_2,Clothing Decals Additional,شارات الملابس إضافية,服装贴花附加,Dodatečné nálepky na oblečení,Ekstra tøjdekaler,Kledingstickers extra,Vaatetarrat Muita,Décalcomanies pour vêtements supplémentaires,Zusätzliche Kleidungsaufkleber,Χαλκομανίες ρούχων Επιπλέον,מדבקות לבוש נוספות,Ruházati matricák Kiegészítő,Stiker Pakaian Tambahan,Decalcomanie per abbigliamento aggiuntive,कपड़ों के डिकल्स अतिरिक्त,衣類用デカール追加,의류 데칼 추가,Klesdekaler i tillegg,Dodatkowe naklejki na ubrania,Decalques adicionais para roupas,Наклейки на одежду Дополнительно,Extra kläddekaler,Calcomanías de ropa adicionales,สติ๊กเกอร์เสื้อผ้าเพิ่มเติม,Giysi Çıkartmaları Ek,Додаткові наклейки на одяг,Đề can quần áo bổ sung
